Major
None
English
History
Philosophy
Art History
Music
Theater
Film Studies
Accounting
Finance
Marketing
Management
Entrepreneurship
Business Analytics
Journalism
Public Relations
Media Studies
Advertising
Computer Science
Software Engineering
Information Technology
Cybersecurity
Data Science
Artificial Intelligence
Early Childhood Education
Special Education
Secondary Education
Educational Psychology
Mechanical Engineering
Electrical Engineering
Civil Engineering
Computer Engineering
Aerospace Engineering
Chemical Engineering
Biomedical Engineering
Nursing
Pre-Medicine
Public Health
Pharmacy
Physical Therapy
Veterinary Medicine
Dentistry
Mathematics
Statistics
Applied Mathematics
Actuarial Science
Biology
Chemistry
Physics
Environmental Science
Geology
Astronomy
Psychology
Sociology
Political Science
Economics
Anthropology
International Relations
